,Unnamed: 0,Airline,Journey_date,From,To,Dtime,Atime,Stops,Price
0,0,,,,,,,,
1,0,Go First,15/07/2022,Goa,Ahmedabad,13:15,17:05,1 stop via Mumbai,"₹ 5,941"
2,1,Go First,15/07/2022,Goa,Ahmedabad,18:25,08:15,1 stop via Mumbai,"₹ 5,941"
3,2,Vistara,15/07/2022,Goa,Ahmedabad,13:20,23:50,1 stop via Mumbai,"₹ 6,903"
4,3,SpiceJet,15/07/2022,Goa,Ahmedabad,07:50,09:30,Non stop,"₹ 7,399"
5,4,IndiGo,15/07/2022,Goa,Ahmedabad,15:15,16:55,Non stop,"₹ 7,399"
6,5,IndiGo,15/07/2022,Goa,Ahmedabad,02:25,07:10,1 stop via Bengaluru,"₹ 7,399"
7,6,IndiGo,15/07/2022,Goa,Ahmedabad,02:05,08:15,1 stop via Hyderabad,"₹ 7,399"
8,7,IndiGo,15/07/2022,Goa,Ahmedabad,01:30,09:35,1 stop via Nagpur,"₹ 7,399"
9,8,IndiGo,15/07/2022,Goa,Ahmedabad,06:45,13:55,1 stop via Mumbai,"₹ 7,399"
10,9,IndiGo,15/07/2022,Goa,Ahmedabad,08:15,14:30,1 stop via Bengaluru,"₹ 7,399"
11,10,IndiGo,15/07/2022,Goa,Ahmedabad,07:20,15:20,1 stop via Hyderabad,"₹ 7,399"
12,11,IndiGo,15/07/2022,Goa,Ahmedabad,13:10,18:00,1 stop via Mumbai,"₹ 7,399"
13,12,IndiGo,15/07/2022,Goa,Ahmedabad,14:40,19:40,1 stop via Bengaluru,"₹ 7,399"
14,13,IndiGo,15/07/2022,Goa,Ahmedabad,18:40,22:45,1 stop via Mumbai,"₹ 7,399"
15,14,IndiGo,15/07/2022,Goa,Ahmedabad,16:30,22:45,1 stop via Mumbai,"₹ 7,399"
16,15,Go First,15/07/2022,Goa,Ahmedabad,20:50,22:20,Non stop,"₹ 7,400"
17,16,Go First,15/07/2022,Goa,Ahmedabad,14:00,20:55,1 stop via Bengaluru,"₹ 7,759"
18,17,Air India,15/07/2022,Goa,Ahmedabad,15:15,20:00,1 stop via Mumbai,"₹ 8,643"
19,18,"Vistara, IndiGo",15/07/2022,Goa,Ahmedabad,13:20,18:00,1 stop via Mumbai,"₹ 11,660"
20,19,"SpiceJet, IndiGo",15/07/2022,Goa,Ahmedabad,13:30,18:00,1 stop via Mumbai,"₹ 11,662"
21,0,Vistara,16/07/2022,Goa,Ahmedabad,13:20,23:50,1 stop via Mumbai,"₹ 6,903"
22,1,IndiGo,16/07/2022,Goa,Ahmedabad,15:15,16:55,Non stop,"₹ 7,399"
23,2,IndiGo,16/07/2022,Goa,Ahmedabad,00:10,07:40,1 stop via Mumbai,"₹ 7,399"
24,3,IndiGo,16/07/2022,Goa,Ahmedabad,01:30,09:35,1 stop via Nagpur,"₹ 7,399"
25,4,IndiGo,16/07/2022,Goa,Ahmedabad,06:45,13:55,1 stop via Mumbai,"₹ 7,399"
26,5,IndiGo,16/07/2022,Goa,Ahmedabad,07:25,14:30,1 stop via Bengaluru,"₹ 7,399"
27,6,IndiGo,16/07/2022,Goa,Ahmedabad,07:20,15:20,1 stop via Hyderabad,"₹ 7,399"
28,7,IndiGo,16/07/2022,Goa,Ahmedabad,13:10,18:00,1 stop via Mumbai,"₹ 7,399"
29,8,IndiGo,16/07/2022,Goa,Ahmedabad,14:40,19:40,1 stop via Bengaluru,"₹ 7,399"
30,9,IndiGo,16/07/2022,Goa,Ahmedabad,18:10,22:15,1 stop via Hyderabad,"₹ 7,399"
31,10,IndiGo,16/07/2022,Goa,Ahmedabad,14:30,22:15,1 stop via Hyderabad,"₹ 7,399"
32,11,IndiGo,16/07/2022,Goa,Ahmedabad,18:40,22:45,1 stop via Mumbai,"₹ 7,399"
33,12,IndiGo,16/07/2022,Goa,Ahmedabad,16:30,22:45,1 stop via Mumbai,"₹ 7,399"
34,13,IndiGo,16/07/2022,Goa,Ahmedabad,01:40,06:05,1 stop via Pune,"₹ 7,555"
35,14,Go First,16/07/2022,Goa,Ahmedabad,20:50,22:20,Non stop,"₹ 7,758"
36,15,Go First,16/07/2022,Goa,Ahmedabad,14:00,20:55,1 stop via Bengaluru,"₹ 7,759"
37,16,Air India,16/07/2022,Goa,Ahmedabad,15:15,20:00,1 stop via Mumbai,"₹ 8,643"
38,17,Go First,16/07/2022,Goa,Ahmedabad,13:15,17:05,1 stop via Mumbai,"₹ 11,145"
39,18,"Vistara, IndiGo",16/07/2022,Goa,Ahmedabad,13:20,18:00,1 stop via Mumbai,"₹ 11,660"
40,19,"SpiceJet, IndiGo",16/07/2022,Goa,Ahmedabad,13:30,18:00,1 stop via Mumbai,"₹ 11,662"
41,0,Vistara,17/07/2022,Goa,Ahmedabad,08:25,23:50,1 stop via Mumbai,"₹ 6,904"
42,1,Go First,17/07/2022,Goa,Ahmedabad,07:35,09:20,Non stop,"₹ 7,190"
43,2,IndiGo,17/07/2022,Goa,Ahmedabad,00:55,02:25,Non stop,"₹ 7,399"
44,3,IndiGo,17/07/2022,Goa,Ahmedabad,02:05,08:15,1 stop via Hyderabad,"₹ 7,399"
45,4,IndiGo,17/07/2022,Goa,Ahmedabad,01:30,09:35,1 stop via Nagpur,"₹ 7,399"
46,5,IndiGo,17/07/2022,Goa,Ahmedabad,21:10,07:10,1 stop via Bengaluru,"₹ 7,399"
47,6,IndiGo,17/07/2022,Goa,Ahmedabad,22:00,08:15,1 stop via Hyderabad,"₹ 7,756"
48,7,Vistara,17/07/2022,Goa,Ahmedabad,08:25,21:25,1 stop via Mumbai,"₹ 8,549"
49,8,Air India,17/07/2022,Goa,Ahmedabad,06:50,20:00,1 stop via Mumbai,"₹ 8,643"
50,9,IndiGo,17/07/2022,Goa,Ahmedabad,02:25,07:10,1 stop via Bengaluru,"₹ 8,827"
51,10,IndiGo,17/07/2022,Goa,Ahmedabad,23:10,07:10,1 stop via Bengaluru,"₹ 8,827"
52,11,IndiGo,17/07/2022,Goa,Ahmedabad,06:45,13:55,1 stop via Mumbai,"₹ 11,232"
53,12,Go First,17/07/2022,Goa,Ahmedabad,10:30,14:55,1 stop via Mumbai,"₹ 11,671"
54,13,Air India,17/07/2022,Goa,Ahmedabad,14:15,20:35,1 stop via New Delhi,"₹ 12,906"
55,14,IndiGo,17/07/2022,Goa,Ahmedabad,15:15,16:55,Non stop,"₹ 14,539"
56,15,Go First,17/07/2022,Goa,Ahmedabad,20:50,22:20,Non stop,"₹ 14,540"
57,16,SpiceJet,17/07/2022,Goa,Ahmedabad,13:40,18:05,1 stop via Pune,"₹ 15,200"
58,17,IndiGo,17/07/2022,Goa,Ahmedabad,18:40,22:45,1 stop via Mumbai,"₹ 15,432"
59,18,Air India,17/07/2022,Goa,Ahmedabad,15:15,20:00,1 stop via Mumbai,"₹ 15,484"
60,0,Go First,18/07/2022,Goa,Ahmedabad,13:15,17:05,1 stop via Mumbai,"₹ 5,941"
61,1,Vistara,18/07/2022,Goa,Ahmedabad,13:20,23:50,1 stop via Mumbai,"₹ 6,903"
62,2,SpiceJet,18/07/2022,Goa,Ahmedabad,07:50,09:30,Non stop,"₹ 7,399"
63,3,IndiGo,18/07/2022,Goa,Ahmedabad,23:05,00:45,Non stop,"₹ 7,399"
64,4,IndiGo,18/07/2022,Goa,Ahmedabad,00:10,07:40,1 stop via Mumbai,"₹ 7,399"
65,5,IndiGo,18/07/2022,Goa,Ahmedabad,02:05,08:15,1 stop via Hyderabad,"₹ 7,399"
66,6,IndiGo,18/07/2022,Goa,Ahmedabad,01:30,09:35,1 stop via Nagpur,"₹ 7,399"
67,7,IndiGo,18/07/2022,Goa,Ahmedabad,06:45,13:55,1 stop via Mumbai,"₹ 7,399"
68,8,IndiGo,18/07/2022,Goa,Ahmedabad,07:20,15:20,1 stop via Hyderabad,"₹ 7,399"
69,9,SpiceJet,18/07/2022,Goa,Ahmedabad,13:40,18:05,1 stop via Pune,"₹ 7,399"
70,10,IndiGo,18/07/2022,Goa,Ahmedabad,18:10,22:15,1 stop via Hyderabad,"₹ 7,399"
71,11,IndiGo,18/07/2022,Goa,Ahmedabad,23:10,07:10,1 stop via Bengaluru,"₹ 7,399"
72,12,IndiGo,18/07/2022,Goa,Ahmedabad,00:55,02:25,Non stop,"₹ 7,609"
73,13,Go First,18/07/2022,Goa,Ahmedabad,20:50,22:20,Non stop,"₹ 7,758"
74,14,IndiGo,18/07/2022,Goa,Ahmedabad,14:40,19:40,1 stop via Bengaluru,"₹ 8,113"
75,15,Air India,18/07/2022,Goa,Ahmedabad,15:15,20:00,1 stop via Mumbai,"₹ 8,643"
76,16,Go First,18/07/2022,Goa,Ahmedabad,18:25,23:10,1 stop via Mumbai,"₹ 11,145"
77,17,IndiGo,18/07/2022,Goa,Ahmedabad,13:10,18:00,1 stop via Mumbai,"₹ 11,232"
78,18,IndiGo,18/07/2022,Goa,Ahmedabad,18:40,22:45,1 stop via Mumbai,"₹ 11,232"
79,19,IndiGo,18/07/2022,Goa,Ahmedabad,15:15,16:55,Non stop,"₹ 11,704"
80,0,Go First,19/07/2022,Goa,Ahmedabad,13:15,17:05,1 stop via Mumbai,"₹ 5,941"
81,1,Go First,19/07/2022,Goa,Ahmedabad,18:25,23:10,1 stop via Mumbai,"₹ 5,941"
82,2,Go First,19/07/2022,Goa,Ahmedabad,17:20,23:10,1 stop via Mumbai,"₹ 5,941"
83,3,Vistara,19/07/2022,Goa,Ahmedabad,13:20,23:50,1 stop via Mumbai,"₹ 6,903"
84,4,IndiGo,19/07/2022,Goa,Ahmedabad,15:15,16:55,Non stop,"₹ 7,399"
85,5,IndiGo,19/07/2022,Goa,Ahmedabad,06:45,13:55,1 stop via Mumbai,"₹ 7,399"
86,6,IndiGo,19/07/2022,Goa,Ahmedabad,08:15,14:30,1 stop via Bengaluru,"₹ 7,399"
87,7,IndiGo,19/07/2022,Goa,Ahmedabad,13:10,18:00,1 stop via Mumbai,"₹ 7,399"
88,8,IndiGo,19/07/2022,Goa,Ahmedabad,14:40,19:40,1 stop via Bengaluru,"₹ 7,399"
89,9,IndiGo,19/07/2022,Goa,Ahmedabad,18:10,22:15,1 stop via Hyderabad,"₹ 7,399"
90,10,IndiGo,19/07/2022,Goa,Ahmedabad,14:30,22:15,1 stop via Hyderabad,"₹ 7,399"
91,11,IndiGo,19/07/2022,Goa,Ahmedabad,18:40,22:45,1 stop via Mumbai,"₹ 7,399"
92,12,IndiGo,19/07/2022,Goa,Ahmedabad,16:30,22:45,1 stop via Mumbai,"₹ 7,399"
93,13,Go First,19/07/2022,Goa,Ahmedabad,20:50,22:20,Non stop,"₹ 7,758"
94,14,Go First,19/07/2022,Goa,Ahmedabad,14:00,20:55,1 stop via Bengaluru,"₹ 7,759"
95,15,Air India,19/07/2022,Goa,Ahmedabad,15:15,20:00,1 stop via Mumbai,"₹ 8,643"
96,16,SpiceJet,19/07/2022,Goa,Ahmedabad,13:40,18:05,1 stop via Pune,"₹ 14,392"
97,0,Go First,20/07/2022,Goa,Ahmedabad,13:15,21:00,1 stop via Mumbai,"₹ 5,941"
98,1,Go First,20/07/2022,Goa,Ahmedabad,17:20,23:10,1 stop via Mumbai,"₹ 5,941"
99,2,Vistara,20/07/2022,Goa,Ahmedabad,13:20,23:50,1 stop via Mumbai,"₹ 7,221"
100,3,SpiceJet,20/07/2022,Goa,Ahmedabad,07:50,09:30,Non stop,"₹ 7,399"
101,4,IndiGo,20/07/2022,Goa,Ahmedabad,23:05,00:45,Non stop,"₹ 7,399"
102,5,IndiGo,20/07/2022,Goa,Ahmedabad,00:10,07:40,1 stop via Mumbai,"₹ 7,399"
103,6,IndiGo,20/07/2022,Goa,Ahmedabad,02:05,08:15,1 stop via Hyderabad,"₹ 7,399"
104,7,SpiceJet,20/07/2022,Goa,Ahmedabad,13:40,18:05,1 stop via Pune,"₹ 7,399"
105,8,IndiGo,20/07/2022,Goa,Ahmedabad,14:40,19:40,1 stop via Bengaluru,"₹ 7,399"
106,9,IndiGo,20/07/2022,Goa,Ahmedabad,18:10,22:15,1 stop via Hyderabad,"₹ 7,399"
107,10,IndiGo,20/07/2022,Goa,Ahmedabad,14:30,22:15,1 stop via Hyderabad,"₹ 7,399"
108,11,IndiGo,20/07/2022,Goa,Ahmedabad,18:40,22:45,1 stop via Mumbai,"₹ 7,399"
109,12,IndiGo,20/07/2022,Goa,Ahmedabad,16:30,22:45,1 stop via Mumbai,"₹ 7,399"
110,13,Go First,20/07/2022,Goa,Ahmedabad,20:50,22:20,Non stop,"₹ 7,400"
111,14,Go First,20/07/2022,Goa,Ahmedabad,14:00,20:55,1 stop via Bengaluru,"₹ 7,759"
112,15,Air India,20/07/2022,Goa,Ahmedabad,15:15,20:00,1 stop via Mumbai,"₹ 8,643"
113,16,IndiGo,20/07/2022,Goa,Ahmedabad,13:10,18:00,1 stop via Mumbai,"₹ 8,827"
114,0,IndiGo,15/07/2022,Goa,Tirupati,07:20,16:30,1 stop via Hyderabad,"₹ 6,682"
115,1,IndiGo,15/07/2022,Goa,Tirupati,07:20,13:55,1 stop via Hyderabad,"₹ 7,759"
116,2,SpiceJet,15/07/2022,Goa,Tirupati,08:05,14:05,1 stop via Hyderabad,"₹ 9,846"
117,3,SpiceJet,15/07/2022,Goa,Tirupati,21:05,07:30,1 stop via Hyderabad,"₹ 9,846"
118,4,IndiGo,15/07/2022,Goa,Tirupati,22:00,07:50,1 stop via Hyderabad,"₹ 11,109"
119,5,Air India,15/07/2022,Goa,Tirupati,01:15,13:45,"2 stop via New Delhi,Hyderabad","₹ 11,216"
120,6,IndiGo,15/07/2022,Goa,Tirupati,08:15,11:55,1 stop via Bengaluru,"₹ 11,922"
121,7,IndiGo,15/07/2022,Goa,Tirupati,02:25,11:55,1 stop via Bengaluru,"₹ 11,922"
122,8,"Alliance Air, IndiGo",15/07/2022,Goa,Tirupati,13:15,19:20,1 stop via Hyderabad,"₹ 11,981"
123,9,"IndiGo, SpiceJet",15/07/2022,Goa,Tirupati,02:05,07:30,1 stop via Hyderabad,"₹ 12,086"
124,10,IndiGo,15/07/2022,Goa,Tirupati,06:45,16:30,"2 stop via Mumbai,Hyderabad","₹ 12,086"
125,11,"SpiceJet, IndiGo",15/07/2022,Goa,Tirupati,08:05,13:55,1 stop via Hyderabad,"₹ 12,400"
126,12,IndiGo,15/07/2022,Goa,Tirupati,01:40,13:55,"2 stop via Pune,Hyderabad","₹ 12,401"
127,13,"AirAsia, IndiGo",15/07/2022,Goa,Tirupati,07:10,11:55,1 stop via Bengaluru,"₹ 12,625"
128,14,IndiGo,15/07/2022,Goa,Tirupati,14:30,19:20,1 stop via Hyderabad,"₹ 13,706"
129,0,IndiGo,16/07/2022,Goa,Tirupati,07:20,13:55,1 stop via Hyderabad,"₹ 7,380"
130,1,IndiGo,16/07/2022,Goa,Tirupati,14:30,19:20,1 stop via Hyderabad,"₹ 7,759"
131,2,IndiGo,16/07/2022,Goa,Tirupati,22:00,07:50,1 stop via Hyderabad,"₹ 10,546"
132,3,Air India,16/07/2022,Goa,Tirupati,01:15,13:45,"2 stop via New Delhi,Hyderabad","₹ 11,216"
133,4,"Alliance Air, IndiGo",16/07/2022,Goa,Tirupati,13:15,19:20,1 stop via Hyderabad,"₹ 11,561"
134,5,IndiGo,16/07/2022,Goa,Tirupati,07:25,11:55,1 stop via Bengaluru,"₹ 11,619"
135,6,"IndiGo, SpiceJet",16/07/2022,Goa,Tirupati,02:05,07:30,1 stop via Hyderabad,"₹ 12,086"
136,7,"IndiGo, SpiceJet",16/07/2022,Goa,Tirupati,01:40,14:05,"2 stop via Pune,Hyderabad","₹ 12,086"
137,8,"IndiGo, SpiceJet",16/07/2022,Goa,Tirupati,00:10,14:05,"2 stop via Mumbai,Hyderabad","₹ 12,086"
138,9,"IndiGo, Air India",16/07/2022,Goa,Tirupati,07:20,13:45,1 stop via Hyderabad,"₹ 12,087"
139,10,"IndiGo, Air India",16/07/2022,Goa,Tirupati,01:40,13:45,"2 stop via Pune,Hyderabad","₹ 12,087"
140,0,IndiGo,17/07/2022,Goa,Tirupati,07:20,16:30,1 stop via Hyderabad,"₹ 8,160"
141,1,IndiGo,17/07/2022,Goa,Tirupati,02:25,11:55,1 stop via Bengaluru,"₹ 10,546"
142,2,Air India,17/07/2022,Goa,Tirupati,01:15,13:45,"2 stop via New Delhi,Hyderabad","₹ 11,216"
143,3,IndiGo,17/07/2022,Goa,Tirupati,07:20,13:55,1 stop via Hyderabad,"₹ 7,380"
144,4,"AirAsia, IndiGo",17/07/2022,Goa,Tirupati,07:10,11:55,1 stop via Bengaluru,"₹ 11,498"
145,5,IndiGo,17/07/2022,Goa,Tirupati,02:05,11:55,"2 stop via Hyderabad,Bengaluru","₹ 12,086"
146,6,IndiGo,17/07/2022,Goa,Tirupati,02:05,11:55,"2 stop via Hyderabad,Bengaluru","₹ 12,086"
147,7,SpiceJet,17/07/2022,Goa,Tirupati,08:05,14:05,1 stop via Hyderabad,"₹ 12,156"
148,8,IndiGo,17/07/2022,Goa,Tirupati,08:15,11:55,1 stop via Bengaluru,"₹ 12,334"
149,9,IndiGo,17/07/2022,Goa,Tirupati,01:40,20:10,"3 stop via Pune,Hyderabad,Vijayawada","₹ 12,385"
150,10,IndiGo,17/07/2022,Goa,Tirupati,01:40,20:10,"3 stop via Pune,Hyderabad,Vijayawada","₹ 12,385"
151,11,"SpiceJet, Air India",17/07/2022,Goa,Tirupati,08:05,13:45,1 stop via Hyderabad,"₹ 13,137"
152,12,"IndiGo, Air India",17/07/2022,Goa,Tirupati,07:20,13:45,1 stop via Hyderabad,"₹ 13,137"
153,13,"IndiGo, SpiceJet",17/07/2022,Goa,Tirupati,02:05,07:30,1 stop via Hyderabad,"₹ 13,240"
154,14,SpiceJet,17/07/2022,Goa,Tirupati,21:05,14:05,1 stop via Hyderabad,"₹ 15,662"
155,15,IndiGo,17/07/2022,Goa,Tirupati,14:30,19:20,1 stop via Hyderabad,"₹ 16,377"
156,16,IndiGo,17/07/2022,Goa,Tirupati,22:00,07:50,1 stop via Hyderabad,"₹ 16,377"
157,17,SpiceJet,17/07/2022,Goa,Tirupati,13:40,18:35,1 stop via Pune,"₹ 17,269"
158,18,SpiceJet,17/07/2022,Goa,Tirupati,21:05,07:30,1 stop via Hyderabad,"₹ 18,844"
159,0,SpiceJet,18/07/2022,Goa,Tirupati,08:05,14:05,1 stop via Hyderabad,"₹ 9,100"
160,1,IndiGo,18/07/2022,Goa,Tirupati,07:20,13:55,1 stop via Hyderabad,"₹ 9,511"
161,2,IndiGo,18/07/2022,Goa,Tirupati,07:20,16:30,1 stop via Hyderabad,"₹ 9,511"
162,3,IndiGo,18/07/2022,Goa,Tirupati,07:20,16:30,1 stop via Hyderabad,"₹ 8,160"
163,4,SpiceJet,18/07/2022,Goa,Tirupati,21:05,14:05,1 stop via Hyderabad,"₹ 9,846"
164,5,IndiGo,18/07/2022,Goa,Tirupati,14:30,19:20,1 stop via Hyderabad,"₹ 11,109"
165,6,Air India,18/07/2022,Goa,Tirupati,01:15,13:45,"2 stop via New Delhi,Hyderabad","₹ 11,216"
166,7,SpiceJet,18/07/2022,Goa,Tirupati,21:05,07:30,1 stop via Hyderabad,"₹ 12,712"
167,8,SpiceJet,18/07/2022,Goa,Tirupati,08:05,07:30,1 stop via Hyderabad,"₹ 12,712"
168,9,IndiGo,18/07/2022,Goa,Tirupati,08:15,11:55,1 stop via Bengaluru,"₹ 13,001"
169,10,IndiGo,18/07/2022,Goa,Tirupati,22:00,07:50,1 stop via Hyderabad,"₹ 14,014"
170,11,IndiGo,18/07/2022,Goa,Tirupati,02:05,07:50,1 stop via Hyderabad,"₹ 14,172"
171,12,Air India,18/07/2022,Goa,Tirupati,01:15,13:45,"2 stop via New Delhi,Hyderabad","₹ 23,149"
172,0,IndiGo,19/07/2022,Goa,Tirupati,08:15,11:55,1 stop via Bengaluru,"₹ 10,796"
173,1,Air India,19/07/2022,Goa,Tirupati,01:15,13:45,"2 stop via New Delhi,Hyderabad","₹ 11,216"
174,2,IndiGo,19/07/2022,Goa,Tirupati,14:30,19:20,1 stop via Hyderabad,"₹ 11,284"
175,3,SpiceJet,19/07/2022,Goa,Tirupati,08:05,14:05,1 stop via Hyderabad,"₹ 9,100"
176,4,IndiGo,19/07/2022,Goa,Tirupati,22:00,07:50,1 stop via Hyderabad,"₹ 12,702"
177,5,IndiGo,19/07/2022,Goa,Tirupati,07:20,13:55,1 stop via Hyderabad,"₹ 13,122"
178,6,IndiGo,19/07/2022,Goa,Tirupati,07:20,16:30,1 stop via Hyderabad,"₹ 13,962"
179,7,Air India,19/07/2022,Goa,Tirupati,01:15,13:45,"2 stop via New Delhi,Hyderabad","₹ 22,939"
180,0,SpiceJet,20/07/2022,Goa,Tirupati,08:05,14:05,1 stop via Hyderabad,"₹ 9,100"
181,1,SpiceJet,20/07/2022,Goa,Tirupati,21:05,07:30,1 stop via Hyderabad,"₹ 9,100"
182,2,Air India,20/07/2022,Goa,Tirupati,01:15,13:45,"2 stop via New Delhi,Hyderabad","₹ 11,216"
183,3,IndiGo,20/07/2022,Goa,Tirupati,07:20,13:55,1 stop via Hyderabad,"₹ 11,494"
184,4,SpiceJet,20/07/2022,Goa,Tirupati,13:40,18:35,1 stop via Pune,"₹ 11,767"
185,5,IndiGo,20/07/2022,Goa,Tirupati,08:15,11:55,1 stop via Bengaluru,"₹ 12,240"
186,6,IndiGo,20/07/2022,Goa,Tirupati,02:05,07:50,1 stop via Hyderabad,"₹ 12,544"
187,7,IndiGo,20/07/2022,Goa,Tirupati,14:30,19:20,1 stop via Hyderabad,"₹ 14,697"
188,8,IndiGo,20/07/2022,Goa,Tirupati,22:00,07:50,1 stop via Hyderabad,"₹ 16,434"
189,9,"Vistara, Air India",20/07/2022,Goa,Tirupati,14:40,13:45,"3 stop via Bengaluru,New Delhi,Hyderabad","₹ 25,686"
190,10,"IndiGo, Air India",20/07/2022,Goa,Tirupati,14:40,13:45,"3 stop via Bengaluru,New Delhi,Hyderabad","₹ 25,688"
191,11,"AirAsia, Air India",20/07/2022,Goa,Tirupati,15:15,13:45,"3 stop via Bengaluru,New Delhi,Hyderabad","₹ 25,689"
192,12,"Go First, Air India",20/07/2022,Goa,Tirupati,14:00,13:45,"3 stop via Bengaluru,New Delhi,Hyderabad","₹ 25,690"
193,13,"Vistara, Air India",20/07/2022,Goa,Tirupati,13:20,13:45,"4 stop via Mumbai,Bengaluru,New Delhi,Hyderabad","₹ 29,245"
194,14,"Vistara, Air India",20/07/2022,Goa,Tirupati,13:20,13:45,"4 stop via Mumbai,Bengaluru,New Delhi,Hyderabad","₹ 29,245"
195,15,"Vistara, Air India",20/07/2022,Goa,Tirupati,13:20,13:45,"4 stop via Mumbai,Bengaluru,New Delhi,Hyderabad","₹ 29,245"
196,16,Air India,20/07/2022,Goa,Tirupati,06:50,13:45,"4 stop via Mumbai,Bengaluru,New Delhi,Hyderabad","₹ 31,883"
197,17,Air India,20/07/2022,Goa,Tirupati,06:50,13:45,"4 stop via Mumbai,Bengaluru,New Delhi,Hyderabad","₹ 31,883"
198,0,Vistara,15/07/2022,Goa,Bengaluru,14:40,15:55,Non stop,"₹ 6,242"
199,1,IndiGo,15/07/2022,Goa,Bengaluru,02:25,03:35,Non stop,"₹ 6,244"
200,2,IndiGo,15/07/2022,Goa,Bengaluru,08:15,09:30,Non stop,"₹ 6,244"
201,3,IndiGo,15/07/2022,Goa,Bengaluru,21:10,22:20,Non stop,"₹ 6,244"
202,4,IndiGo,15/07/2022,Goa,Bengaluru,23:10,00:25,Non stop,"₹ 6,244"
203,5,AirAsia,15/07/2022,Goa,Bengaluru,07:10,08:15,Non stop,"₹ 6,245"
204,6,AirAsia,15/07/2022,Goa,Bengaluru,15:15,16:25,Non stop,"₹ 6,245"
205,7,Go First,15/07/2022,Goa,Bengaluru,14:00,15:05,Non stop,"₹ 6,246"
206,8,IndiGo,15/07/2022,Goa,Bengaluru,14:40,15:50,Non stop,"₹ 6,664"
207,9,Vistara,15/07/2022,Goa,Bengaluru,13:20,17:45,1 stop via Mumbai,"₹ 9,357"
208,0,Vistara,16/07/2022,Goa,Bengaluru,14:40,15:55,Non stop,"₹ 6,242"
209,1,IndiGo,16/07/2022,Goa,Bengaluru,07:25,08:35,Non stop,"₹ 6,244"
210,2,IndiGo,16/07/2022,Goa,Bengaluru,14:40,15:50,Non stop,"₹ 6,244"
211,3,IndiGo,16/07/2022,Goa,Bengaluru,21:10,22:20,Non stop,"₹ 6,244"
212,4,AirAsia,16/07/2022,Goa,Bengaluru,15:15,16:25,Non stop,"₹ 6,245"
213,5,AirAsia,16/07/2022,Goa,Bengaluru,18:30,21:40,1 stop via Hyderabad,"₹ 6,245"
214,6,Go First,16/07/2022,Goa,Bengaluru,14:00,15:05,Non stop,"₹ 6,246"
215,7,Vistara,16/07/2022,Goa,Bengaluru,13:20,18:15,1 stop via Mumbai,"₹ 9,357"
216,0,IndiGo,17/07/2022,Goa,Bengaluru,02:25,03:35,Non stop,"₹ 6,244"
217,1,AirAsia,17/07/2022,Goa,Bengaluru,07:10,08:15,Non stop,"₹ 6,245"
218,2,IndiGo,17/07/2022,Goa,Bengaluru,23:10,00:25,Non stop,"₹ 7,189"
219,3,SpiceJet,17/07/2022,Goa,Bengaluru,21:55,23:25,Non stop,"₹ 7,399"
220,4,IndiGo,17/07/2022,Goa,Bengaluru,21:10,22:20,Non stop,"₹ 8,764"
221,5,IndiGo,17/07/2022,Goa,Bengaluru,08:15,09:30,Non stop,"₹ 9,394"
222,6,Go First,17/07/2022,Goa,Bengaluru,14:00,15:05,Non stop,"₹ 9,416"
223,7,Vistara,17/07/2022,Goa,Bengaluru,08:25,07:50,1 stop via Mumbai,"₹ 9,802"
224,8,Air India,17/07/2022,Goa,Bengaluru,06:50,11:10,1 stop via Mumbai,"₹ 11,389"
225,9,Vistara,17/07/2022,Goa,Bengaluru,14:40,15:55,Non stop,"₹ 12,229"
226,10,AirAsia,17/07/2022,Goa,Bengaluru,15:15,16:25,Non stop,"₹ 12,229"
227,11,AirAsia,17/07/2022,Goa,Bengaluru,18:30,21:40,1 stop via Hyderabad,"₹ 12,229"
228,0,SpiceJet,18/07/2022,Goa,Bengaluru,01:05,16:50,1 stop via Pune,"₹ 6,243"
229,1,IndiGo,18/07/2022,Goa,Bengaluru,21:10,22:20,Non stop,"₹ 6,244"
230,2,IndiGo,18/07/2022,Goa,Bengaluru,23:10,00:25,Non stop,"₹ 6,244"
231,3,AirAsia,18/07/2022,Goa,Bengaluru,18:30,21:40,1 stop via Hyderabad,"₹ 6,245"
232,4,Go First,18/07/2022,Goa,Bengaluru,14:00,15:05,Non stop,"₹ 6,545"
233,5,AirAsia,18/07/2022,Goa,Bengaluru,15:15,16:25,Non stop,"₹ 6,979"
234,6,IndiGo,18/07/2022,Goa,Bengaluru,14:40,15:50,Non stop,"₹ 7,714"
235,7,Vistara,18/07/2022,Goa,Bengaluru,14:40,15:55,Non stop,"₹ 7,735"
236,8,IndiGo,18/07/2022,Goa,Bengaluru,08:15,09:30,Non stop,"₹ 8,239"
237,9,Vistara,18/07/2022,Goa,Bengaluru,13:20,17:45,1 stop via Mumbai,"₹ 9,801"
238,0,Vistara,19/07/2022,Goa,Bengaluru,14:40,15:55,Non stop,"₹ 6,242"
239,1,IndiGo,19/07/2022,Goa,Bengaluru,08:15,09:30,Non stop,"₹ 6,244"
240,2,IndiGo,19/07/2022,Goa,Bengaluru,14:40,15:50,Non stop,"₹ 6,244"
241,3,IndiGo,19/07/2022,Goa,Bengaluru,21:10,22:20,Non stop,"₹ 6,244"
242,4,IndiGo,19/07/2022,Goa,Bengaluru,23:10,00:25,Non stop,"₹ 6,244"
